id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,Combination_Count
NCT02047552,"[[""oxandrolone"", ""Steroids""], [""iron sucrose"", ""iron""]]","[""DB00621"", ""DB09146""]","[""CID5878"", ""CID91663255""]",functional iron deficiency,Nutritional disorders,DB00621,DB09146,1
NCT02047552,"[[""oxandrolone"", ""Steroids""], [""iron sucrose"", ""iron""]]","[""DB00621"", ""DB09146""]","[""CID5878"", ""CID91663255""]",trauma,"Injuries to unspecified part of trunk, limb or body region",DB00621,DB09146,1
NCT02047552,"[[""oxandrolone"", ""Steroids""], [""iron sucrose"", ""iron""]]","[""DB00621"", ""DB09146""]","[""CID5878"", ""CID91663255""]",anemia,Diseases of the blood or blood-forming organs,DB00621,DB09146,1
NCT02048020,"[[""carboplatin"", ""Paraplatin"", ""Paraplatin"", ""JM-8"", ""Carboplat"", ""carboplatin""], [""paclitaxel"", ""taxol"", ""Anzatax"", ""Asotax"", ""paclitaxel""]]","[""DB00958"", ""DB01229""]","[""CID10339178"", ""CID36314""]",human papilloma virus infection,Conditions related to sexual health,DB00958,DB01229,1
NCT02048215,"[[""ephedrine""], [""caffeine""]]","[""DB01364"", ""DB00201""]","[""-1"", ""CID2519""]",obesity,Nutritional disorders,DB01364,DB00201,1
NCT02049814,"[[""metformin"", ""Glucophage""], [""voglibose"", ""Basen""]]","[""DB00331"", ""DB04878""]","[""CID4091"", ""CID444020""]",type 2 diabetes mellitus,Endocrine diseases,DB00331,DB04878,3
NCT02050321,"[[""vemurafenib"", ""Zelboraf""], [""acitretin"", ""Soriatane""]]","[""DB08881"", ""DB00459""]","[""CID42611257"", ""CID5284513""]",malignant melanoma,Malignant neoplasms involving the skin,DB08881,DB00459,1
NCT02052193,"[[""dabrafenib""], [""vemurafenib""]]","[""DB08912"", ""DB08881""]","[""CID44462760"", ""CID42611257""]",metastatic melanoma (carrying braf v600 mutation),"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB08912,DB08881,2
NCT02057133,"[[""tamoxifen""], [""LY2835219"", ""abemaciclib""]]","[""DB00675"", ""DB12001""]","[""-1"", ""CID46220502""]",breast neoplasms,Disorders of breast,DB00675,DB12001,5
NCT02057133,"[[""anastrozole""], [""LY2835219"", ""abemaciclib""]]","[""DB01217"", ""DB12001""]","[""CID2187"", ""CID46220502""]",breast neoplasms,Disorders of breast,DB01217,DB12001,1
NCT02057133,"[[""LY2835219"", ""abemaciclib""], [""exemestane""]]","[""DB12001"", ""DB00990""]","[""CID46220502"", ""CID60198""]",breast neoplasms,Disorders of breast,DB12001,DB00990,1
NCT02057133,"[[""LY2835219"", ""abemaciclib""], [""letrozole""]]","[""DB12001"", ""DB01006""]","[""CID46220502"", ""CID3902""]",breast neoplasms,Disorders of breast,DB12001,DB01006,6
NCT02058875,"[[""cyclosporine""], [""Myfortic"", ""medroxyprogesterone acetate"", ""mycophenolate sodium""]]","[""DB00091"", ""DB00603""]","[""CID5284373"", ""CID6279""]",cardiovascular disease,Diseases of the circulatory system,DB00091,DB00603,1
NCT02058875,"[[""cyclosporine""], [""Myfortic"", ""medroxyprogesterone acetate"", ""mycophenolate sodium""]]","[""DB00091"", ""DB00603""]","[""CID5284373"", ""CID6279""]",cardiovascular outcomes,Certain specified forms of heart disease,DB00091,DB00603,1
NCT02058875,"[[""cyclosporine""], [""Myfortic"", ""medroxyprogesterone acetate"", ""mycophenolate sodium""]]","[""DB00091"", ""DB00603""]","[""CID5284373"", ""CID6279""]",kidney transplant recipients,Postprocedural disorders of eye or ocular adnexa,DB00091,DB00603,2
NCT02060552,"[[""febuxostat""], [""colchicine""]]","[""DB04854"", ""DB01394""]","[""CID134018"", ""CID6167""]",primary gout,Metabolic disorders,DB04854,DB01394,1
NCT02065336,"[[""entecavir"", ""Baraclude""], [""chlorpheniramine""], [""placebo""]]","[""DB00442"", ""DB01114"", ""PLACEBO""]","[""CID153941"", ""CID2725"", ""PLACEBO""]","hepatitis b, chronic",Diseases of the digestive system,DB00442,DB01114,1
NCT02072512,"[[""goserelin""], [""fulvestrant""]]","[""DB00014"", ""DB00947""]","[""CID5311128"", ""CID104741""]",metastatic breast cancer,Disorders of breast,DB00014,DB00947,2
NCT02073838,"[[""decitabine""], [""ribavirin""]]","[""DB01262"", ""DB00811""]","[""CID451668"", ""-1""]",acute myeloid leukemia,Neoplasms,DB01262,DB00811,1
NCT02075021,"[[""lenalidomide"", ""Revlimid""], [""130-nm albumin-bound paclitaxel"", ""Abraxane""]]","[""DB00480"", ""DB01229""]","[""CID216326"", ""-1""]",relapsed or refractory multiple myeloma,Neoplasms,DB00480,DB01229,1
NCT02076191,"[[""ruxolitinib""], [""decitabine""]]","[""DB08877"", ""DB01262""]","[""CID25126798"", ""CID451668""]",myeloproliferative neoplasms,Neoplasms,DB08877,DB01262,1
NCT02079337,"[[""placebo""], [""sugammadex""], [""rocuronium""]]","[""PLACEBO"", ""DB06206"", ""DB00728""]","[""PLACEBO"", ""-1"", ""CID441290""]",pneumoperitoneum,Diseases of peritoneum,DB06206,DB00728,1
NCT02079636,"[[""abemaciclib"", ""LY2835219""], [""pemetrexed"", ""Alimta""]]","[""DB12001"", ""DB00642""]","[""CID46220502"", ""CID446556""]","carcinoma, non-small cell lung",Neoplasms of the respiratory system,DB12001,DB00642,1
NCT02079636,"[[""abemaciclib"", ""LY2835219""], [""gemcitabine"", ""Gemzar""]]","[""DB12001"", ""DB00441""]","[""CID46220502"", ""CID60750""]","carcinoma, non-small cell lung",Neoplasms of the respiratory system,DB12001,DB00441,1
NCT02080078,"[[""erlotinib"", ""Tarceva""], [""theophylline"", ""Theo Dur""]]","[""DB00530"", ""DB00277""]","[""CID176870"", ""CID2153""]",non-small cell lung cancer,Neoplasms of the respiratory system,DB00530,DB00277,2
NCT02080169,"[[""midazolam""], [""fentanyl""]]","[""DB00683"", ""DB00813""]","[""CID4192"", ""CID3345""]",delirium,Secondary neurocognitive syndrome,DB00683,DB00813,1
NCT02080169,"[[""fentanyl""], [""dexmedetomidine""]]","[""DB00813"", ""DB00633""]","[""CID3345"", ""-1""]",delirium,Secondary neurocognitive syndrome,DB00813,DB00633,4
NCT02081638,"[[""atorvastatin""], [""aspirin""]]","[""DB01076"", ""DB00945""]","[""CID60823"", ""CID2244""]",human immunodeficiency virus,Diseases of the genitourinary system,DB01076,DB00945,2
NCT02081755,"[[""everolimus"", ""Afinitor"", ""Zortress""], [""tacrolimus"", ""Prograf""]]","[""DB01590"", ""DB00864""]","[""CID6442177"", ""CID445643""]","carcinoma, hepatocellular","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01590,DB00864,1
NCT02082808,"[[""daclatasvir""], [""dolutegravir""]]","[""DB09102"", ""DB08930""]","[""CID25154714"", ""CID54726191""]","infection, human immunodeficiency virus",Diseases of the genitourinary system,DB09102,DB08930,2
NCT02084563,"[[""cytarabine"", ""Ara-C""], [""decitabine"", ""Dacogen"", ""decitabine""]]","[""DB00987"", ""DB01262""]","[""CID6253"", ""CID451668""]",acute myeloid leukemia,Neoplasms,DB00987,DB01262,6
NCT02084706,"[[""lidocaine""], [""triamcinolone""]]","[""DB00281"", ""DB00620""]","[""CID3676"", ""CID31307""]",trigger finger,Soft tissue disorders,DB00281,DB00620,5
NCT02087475,"[[""fluorouracil""], [""irinotecan""]]","[""DB00544"", ""DB00762""]","[""-1"", ""CID60838""]",effects of chemotherapy,Reasons for contact with the health services,DB00544,DB00762,2
NCT02087540,"[[""placebo""], [""rosuvastatin""], [""telmisartan""]]","[""PLACEBO"", ""DB01098"", ""DB00966""]","[""PLACEBO"", ""CID446157"", ""CID65999""]",hypertension,Hypertensive diseases,DB01098,DB00966,3
NCT02087540,"[[""placebo""], [""rosuvastatin""], [""telmisartan""]]","[""PLACEBO"", ""DB01098"", ""DB00966""]","[""PLACEBO"", ""CID446157"", ""CID65999""]",hyperlipidemia,Metabolic disorders,DB01098,DB00966,3
NCT02088515,"[[""nedaplatin""], [""docetaxel""]]","[""DB13145"", ""DB01248""]","[""CID6917890"", ""CID148124""]",squamous cell carcinoma,Malignant neoplasms involving the skin,DB13145,DB01248,1
NCT02088684,"[[""LEE011""], [""fulvestrant""]]","[""DB11730"", ""DB00947""]","[""CID44631912"", ""CID104741""]",breast cancer,Disorders of breast,DB11730,DB00947,4
NCT02090413,"[[""placebo""], [""dimethyl fumarate"", ""BG 00012"", ""Tecfidera"", ""dimethyl fumarate""], [""aspirin"", ""aspirin"", ""aspirin""]]","[""PLACEBO"", ""DB08908"", ""DB00945""]","[""PLACEBO"", ""CID637568"", ""CID2244""]",relapsing-remitting multiple sclerosis,Multiple sclerosis or other white matter disorders,DB08908,DB00945,4
NCT02094599,"[[""dronabinol""], [""dronabinol""], [""placebo""]]","[""DB00470"", ""DB00470"", ""PLACEBO""]","[""CID16078"", ""CID16078"", ""PLACEBO""]","drug abuse, medication",Disorders due to substance use or addictive behaviours,DB00470,DB00470,1
NCT02095665,"[[""tamsulosin"", ""Flomax""], [""Tylenol""]]","[""DB00706"", ""DB00316""]","[""CID129211"", ""CID1983""]",nephrolithiasis,Diseases of the urinary system,DB00706,DB00316,1
NCT02095665,"[[""mirabegron""], [""Tylenol""]]","[""DB08893"", ""DB00316""]","[""CID9865528"", ""CID1983""]",nephrolithiasis,Diseases of the urinary system,DB08893,DB00316,1
NCT02096354,"[[""irinotecan"", ""bevacizumab""], [""regorafenib"", ""Stivarga""]]","[""DB00762"", ""DB08896""]","[""CID60838"", ""CID11167602""]",colorectal neoplasms,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00762,DB08896,2
NCT02097459,"[[""toremifene"", ""Fareston""], [""tamoxifen""]]","[""DB00539"", ""DB00675""]","[""CID3005573"", ""-1""]",breast cancer,Disorders of breast,DB00539,DB00675,1
NCT02098499,"[[""metoclopramide"", ""Reglan""], [""diphenhydramine"", ""Benadryl""]]","[""DB01233"", ""DB01075""]","[""CID4168"", ""CID3100""]",restlessness,"Mental or behavioural symptoms, signs or clinical findings",DB01233,DB01075,1
NCT02098499,"[[""diphenhydramine"", ""Benadryl""], [""haloperidol"", ""Haldol""]]","[""DB01075"", ""DB00502""]","[""CID3100"", ""CID3559""]",migraine headaches,Headache disorders,DB01075,DB00502,2
NCT02098499,"[[""diphenhydramine"", ""Benadryl""], [""haloperidol"", ""Haldol""]]","[""DB01075"", ""DB00502""]","[""CID3100"", ""CID3559""]",nausea,"Symptoms, signs or clinical findings, not elsewhere classified",DB01075,DB00502,1
NCT02098499,"[[""diphenhydramine"", ""Benadryl""], [""haloperidol"", ""Haldol""]]","[""DB01075"", ""DB00502""]","[""CID3100"", ""CID3559""]",restlessness,"Mental or behavioural symptoms, signs or clinical findings",DB01075,DB00502,1
NCT02102100,"[[""nicotine""], [""menthol"", ""DL-lactic acid""]]","[""DB00184"", ""DB04398""]","[""CID89594"", ""CID1254""]",nicotine dependence,Disorders due to substance use or addictive behaviours,DB00184,DB04398,2
NCT02102113,"[[""placebo""], [""dronabinol"", ""dronabinol""], [""dronabinol"", ""dronabinol""]]","[""PLACEBO"", ""DB00470"", ""DB00470""]","[""PLACEBO"", ""CID16078"", ""CID16078""]",psychosis,Schizophrenia or other primary psychotic disorders,DB00470,DB00470,4
NCT02102789,"[[""dexamethasone"", ""floxuridine""], [""leucovorin"", ""fluorouracil"", ""oxaliplatin""]]","[""DB01234"", ""DB00650""]","[""CID5743"", ""CID6106""]",metastatic colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01234,DB00650,1
NCT02106845,"[[""rosuvastatin""], [""regorafenib""]]","[""DB01098"", ""DB08896""]","[""CID446157"", ""CID11167602""]",neoplasms,Neoplasms,DB01098,DB08896,1
NCT02106845,"[[""regorafenib""], [""digoxin""]]","[""DB08896"", ""DB00390""]","[""CID11167602"", ""CID2724385""]",neoplasms,Neoplasms,DB08896,DB00390,1
NCT02107703,"[[""abemaciclib"", ""LY2835219""], [""fulvestrant""]]","[""DB12001"", ""DB00947""]","[""CID46220502"", ""CID104741""]",breast neoplasms,Disorders of breast,DB12001,DB00947,13
NCT02108366,"[[""oseltamivir"", ""Tamiflu""], [""celecoxib"", ""Cyclooxygenase Inhibitors""]]","[""DB00198"", ""DB00482""]","[""CID65028"", ""CID2662""]","influenza, human",Diseases of the respiratory system,DB00198,DB00482,1
NCT02109965,"[[""midazolam""], [""propofol""]]","[""DB00683"", ""DB00818""]","[""CID4192"", ""CID4943""]",severe sepsis,Sepsis,DB00683,DB00818,1
NCT02110355,"[[""dabrafenib""], [""trametinib""]]","[""DB08912"", ""DB08911""]","[""CID44462760"", ""CID11707110""]",tumors,Neoplasms,DB08912,DB08911,2
NCT02111200,"[[""sodium benzoate""], [""sodium phenylbutyrate"", ""Buphenyl""]]","[""DB03793"", ""DB06819""]","[""CID517055"", ""CID5258""]","urea cycle disorders, inborn",Metabolic disorders,DB03793,DB06819,1
NCT02111447,"[[""isoflurane"", ""Forane""], [""sevoflurane""]]","[""DB00753"", ""DB01236""]","[""CID3763"", ""CID5206""]",delirium on emergence,Secondary neurocognitive syndrome,DB00753,DB01236,1
NCT02111447,"[[""propofol"", ""Diprivan""], [""sevoflurane""]]","[""DB00818"", ""DB01236""]","[""CID4943"", ""CID5206""]",delirium on emergence,Secondary neurocognitive syndrome,DB00818,DB01236,1
NCT02114151,"[[""simeprevir""], [""sofosbuvir""]]","[""DB06290"", ""DB08934""]","[""CID24873435"", ""CID45375808""]",hepatitis c virus infection,Diseases of liver,DB06290,DB08934,3
NCT02115048,"[[""letrozole""], [""afatinib""]]","[""DB01006"", ""DB08916""]","[""CID3902"", ""CID10184653""]",breast neoplasms,Disorders of breast,DB01006,DB08916,1
NCT02115074,"[[""fluvastatin""], [""Celebrex"", ""celecoxib""]]","[""DB01095"", ""DB00482""]","[""CID446155"", ""CID2662""]",glioma,Neoplasms of brain or central nervous system,DB01095,DB00482,1
NCT02116309,"[[""epinephrine"", ""epinephrine""], [""indomethacin"", ""Indocin"", ""Anti-Inflammatory Agents, Non-Steroidal""]]","[""DB00668"", ""DB00328""]","[""CID5816"", ""CID3715""]",post-ercp acute pancreatitis,Diseases of pancreas,DB00668,DB00328,2
NCT02116556,"[[""rifaximin""], [""prednisone""]]","[""DB01220"", ""DB00635""]","[""CID6436173"", ""-1""]",alcoholic hepatitis,Diseases of liver,DB01220,DB00635,1
NCT02117648,"[[""abemaciclib"", ""LY2835219""], [""clarithromycin""]]","[""DB12001"", ""DB01211""]","[""CID46220502"", ""CID84029""]",neoplasm,Neoplasms,DB12001,DB01211,1
NCT02117648,"[[""abemaciclib"", ""LY2835219""], [""clarithromycin""]]","[""DB12001"", ""DB01211""]","[""CID46220502"", ""CID84029""]",neoplasm metastasis,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB12001,DB01211,1
NCT02118467,"[[""epinephrine""], [""norepinephrine"", ""Levophed""]]","[""DB00668"", ""DB00368""]","[""CID5816"", ""CID439260""]",shock,"General symptoms, signs or clinical findings",DB00668,DB00368,1
NCT02118688,"[[""risperidone""], [""trazodone""]]","[""DB00734"", ""DB00656""]","[""CID5073"", ""CID5533""]",delirium,Secondary neurocognitive syndrome,DB00734,DB00656,1
NCT02118688,"[[""risperidone""], [""trazodone""]]","[""DB00734"", ""DB00656""]","[""CID5073"", ""CID5533""]",agitation,"Mental or behavioural symptoms, signs or clinical findings",DB00734,DB00656,1
NCT02119806,"[[""propofol"", ""Diprivan""], [""fentanyl"", ""fentanyl""]]","[""DB00818"", ""DB00813""]","[""CID4943"", ""CID3345""]",delirium,Secondary neurocognitive syndrome,DB00818,DB00813,2
NCT02120417,"[[""capecitabine""], [""ruxolitinib"", ""Jakafi""]]","[""DB01101"", ""DB08877""]","[""CID60953"", ""CID25126798""]",breast cancer,Disorders of breast,DB01101,DB08877,1
NCT02120469,"[[""eribulin mesylate"", ""eribulin"", ""E 7389"", ""ER-086526""], [""everolimus"", ""Afinitor"", ""RAD 001""]]","[""DB08871"", ""DB01590""]","[""CID11354606"", ""CID6442177""]",stage iv breast cancer,Disorders of breast,DB08871,DB01590,3
NCT02121405,"[[""oxaliplatin"", ""Eloxatin""], [""capecitabine"", ""Xeloda""]]","[""DB00526"", ""DB01101""]","[""CID11947679"", ""CID60953""]",effects of radiation therapy,Reasons for contact with the health services,DB00526,DB01101,7
NCT02125084,"[[""enzalutamide"", ""MDV 3100""], [""everolimus"", ""Votubia"", ""RAD 001"", ""Afinitor""]]","[""DB08899"", ""DB01590""]","[""CID15951529"", ""CID6442177""]",prostate cancer,Diseases of the male genital system,DB08899,DB01590,1
NCT02127697,"[[""albuterol""], [""NVA237""]]","[""DB01001"", ""DB00986""]","[""CID2083"", ""CID11693""]",asthma,Allergic or hypersensitivity conditions,DB01001,DB00986,1
NCT02130687,"[[""sitagliptin"", ""Januvia""], [""placebo""], [""aprepitant"", ""Emend""]]","[""DB01261"", ""PLACEBO"", ""DB00673""]","[""CID4369359"", ""PLACEBO"", ""CID135413536""]",type 2 diabetes mellitus,Endocrine diseases,DB01261,DB00673,3
NCT02130687,"[[""sitagliptin"", ""Januvia""], [""placebo""], [""aprepitant"", ""Emend""]]","[""DB01261"", ""PLACEBO"", ""DB00673""]","[""CID4369359"", ""PLACEBO"", ""CID135413536""]",hypertension,Hypertensive diseases,DB01261,DB00673,3
NCT02131480,"[[""doxorubicin"", ""Adriamycin""], [""trabectedin"", ""Yondelis""]]","[""DB00997"", ""DB05109""]","[""-1"", ""CID108150""]",uterus leiomyosarcoma,"Sarcoma, not elsewhere classified of uterus",DB00997,DB05109,3
NCT02131480,"[[""doxorubicin"", ""Adriamycin""], [""trabectedin"", ""Yondelis""]]","[""DB00997"", ""DB05109""]","[""-1"", ""CID108150""]",soft tissue leiomyosarcoma,Neoplasms of the circulatory system,DB00997,DB05109,2
NCT02135055,"[[""morphine""], [""midazolam""]]","[""DB00295"", ""DB00683""]","[""CID5288826"", ""CID4192""]",inflammatory disorder of immune system,Diseases of the immune system,DB00295,DB00683,4
NCT02135055,"[[""morphine""], [""midazolam""]]","[""DB00295"", ""DB00683""]","[""CID5288826"", ""CID4192""]",sepsis,Sepsis,DB00295,DB00683,4
NCT02135419,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""Efudex""], [""imiquimod"", ""imiquimod"", ""Aldara"", ""arginine""]]","[""DB00544"", ""DB00724""]","[""-1"", ""CID57469""]",anal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00544,DB00724,2
NCT02135419,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""Efudex""], [""imiquimod"", ""imiquimod"", ""Aldara"", ""arginine""]]","[""DB00544"", ""DB00724""]","[""-1"", ""CID57469""]",high-grade squamous intraepithelial lesion,In situ neoplasms of skin,DB00544,DB00724,1
NCT02135419,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""Efudex""], [""imiquimod"", ""imiquimod"", ""Aldara"", ""arginine""]]","[""DB00544"", ""DB00724""]","[""-1"", ""CID57469""]",hiv infection,Diseases of the genitourinary system,DB00544,DB00724,1
NCT02135419,"[[""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""fluorouracil"", ""Efudex""], [""imiquimod"", ""imiquimod"", ""Aldara"", ""arginine""]]","[""DB00544"", ""DB00724""]","[""-1"", ""CID57469""]",human papilloma virus infection,Conditions related to sexual health,DB00544,DB00724,1
NCT02137083,"[[""fulvestrant"", ""Faslodex""], [""docetaxel"", ""Taxotere""]]","[""DB00947"", ""DB01248""]","[""CID104741"", ""CID148124""]",metastatic breast cancer,Disorders of breast,DB00947,DB01248,1
NCT02139397,"[[""eflornithine"", ""eflornithine"", ""eflornithine""], [""bortezomib"", ""Velcade""]]","[""DB06243"", ""DB00188""]","[""CID3009"", ""CID387447""]",neuroblastoma recurrent,Endocrine diseases,DB06243,DB00188,1
NCT02141477,"[[""omacetaxine"", ""Synribo"", ""omacetaxine mepesuccinate""], [""decitabine"", ""Dacogen""]]","[""DB04865"", ""DB01262""]","[""CID65305"", ""CID451668""]",leukemia,Neoplasms,DB04865,DB01262,1
NCT02142530,"[[""carfilzomib"", ""Kyprolis""], [""belinostat"", ""Beleodaq""]]","[""DB08889"", ""DB05015""]","[""CID11556711"", ""CID6918638""]",non-hodgkin lymphoma,Neoplasms,DB08889,DB05015,5
NCT02142712,"[[""diphenhydramine"", ""Benadryl""], [""famotidine"", ""Pepcid""]]","[""DB01075"", ""DB00927""]","[""CID3100"", ""CID5702160""]",acute cerebrovascular accident,Diseases of the nervous system,DB01075,DB00927,1
NCT02142712,"[[""diphenhydramine"", ""Benadryl""], [""famotidine"", ""Pepcid""]]","[""DB01075"", ""DB00927""]","[""CID3100"", ""CID5702160""]",cerebral edema,Disorders of cerebrospinal fluid pressure or flow,DB01075,DB00927,1
NCT02142712,"[[""dextromethorphan"", ""Diamox""], [""famotidine"", ""Pepcid""]]","[""DB00819"", ""DB00927""]","[""CID1986"", ""CID5702160""]",acute cerebrovascular accident,Diseases of the nervous system,DB00819,DB00927,1
NCT02142712,"[[""dextromethorphan"", ""Diamox""], [""famotidine"", ""Pepcid""]]","[""DB00819"", ""DB00927""]","[""CID1986"", ""CID5702160""]",cerebral edema,Disorders of cerebrospinal fluid pressure or flow,DB00819,DB00927,1
NCT02145403,"[[""carfilzomib"", ""Kyprolis""], [""tacrolimus""]]","[""DB08889"", ""DB00864""]","[""CID11556711"", ""CID445643""]",hematologic malignancies,Neoplasms,DB08889,DB00864,1
NCT02145403,"[[""carfilzomib"", ""Kyprolis""], [""tacrolimus""]]","[""DB08889"", ""DB00864""]","[""CID11556711"", ""CID445643""]",graft-versus-host disease,Certain disorders involving the immune system,DB08889,DB00864,1
NCT02145559,"[[""sirolimus""], [""metformin""]]","[""DB00877"", ""DB00331""]","[""-1"", ""-1""]",breast neoplasms,Disorders of breast,DB00877,DB00331,1
NCT02145559,"[[""sirolimus""], [""metformin""]]","[""DB00877"", ""DB00331""]","[""-1"", ""-1""]",cancer of liver,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB00877,DB00331,1
NCT02145559,"[[""sirolimus""], [""metformin""]]","[""DB00877"", ""DB00331""]","[""-1"", ""-1""]",lymphoma,Neoplasms,DB00877,DB00331,1
NCT02145559,"[[""sirolimus""], [""metformin""]]","[""DB00877"", ""DB00331""]","[""-1"", ""-1""]",cancer of kidney,Diseases of the urinary system,DB00877,DB00331,1
NCT02147054,"[[""rocuronium"", ""Esmeron""], [""sugammadex"", ""Bridion""]]","[""DB00728"", ""DB06206""]","[""CID441290"", ""-1""]",organophosphate poisoning,"Injury, poisoning or certain other consequences of external causes",DB00728,DB06206,2
NCT02147691,"[[""brimonidine""], [""azelaic acid"", ""Finacea""]]","[""DB00484"", ""DB00548""]","[""CID2435"", ""CID2266""]",acne rosacea,Dermatoses provoked by physical or environmental factors,DB00484,DB00548,2
NCT02148016,"[[""levofloxacin""], [""betamethasone""]]","[""DB01137"", ""DB00443""]","[""CID149096"", ""CID9782""]",corneal disease,Disorders of the visual organs,DB01137,DB00443,4
NCT02155465,"[[""erlotinib""], [""ruxolitinib""]]","[""DB00530"", ""DB08877""]","[""CID176870"", ""CID25126798""]",lung cancer,Neoplasms of the respiratory system,DB00530,DB08877,1
NCT02158936,"[[""eltrombopag""], [""azacitidine""]]","[""DB06210"", ""DB00928""]","[""-1"", ""CID9444""]",thrombocytopaenia,Obstetric haemorrhage,DB06210,DB00928,1
NCT02160301,"[[""acetaminophen"", ""Tylenol"", ""Acephen"", ""Microtubule-Associated Proteins""], [""oxycodone"", ""Roxicodone""]]","[""DB00316"", ""DB00497""]","[""CID1983"", ""CID5284603""]",post operative pain control,"General symptoms, signs or clinical findings",DB00316,DB00497,37
NCT02161484,"[[""bupivacaine""], [""ropivacaine""]]","[""DB00297"", ""DB00296""]","[""-1"", ""CID175805""]",osteoarthritis of hip,Arthropathies,DB00297,DB00296,4
NCT02163954,"[[""ticagrelor"", ""ticagrelor""], [""clopidogrel"", ""clopidogrel""]]","[""DB08816"", ""DB00758""]","[""CID9871419"", ""CID60606""]",chronic kidney disease,Diseases of the urinary system,DB08816,DB00758,4
NCT02164240,"[[""sunitinib"", ""Sutent""], [""regorafenib"", ""Stivarga""]]","[""DB01268"", ""DB08896""]","[""CID5329102"", ""CID11167602""]",gastrointestinal stromal tumor,Neoplasms of the circulatory system,DB01268,DB08896,3
NCT02164513,"[[""umeclidinium bromide""], [""vilanterol""]]","[""DB09076"", ""DB09082""]","[""CID11519069"", ""CID10184665""]","pulmonary disease, chronic obstructive",Certain lower respiratory tract diseases,DB09076,DB09082,1
NCT02164812,"[[""placebo""], [""efavirenz"", ""Sustiva""], [""moxifloxacin"", ""Avelox""]]","[""PLACEBO"", ""DB00625"", ""DB00218""]","[""PLACEBO"", ""CID64139"", ""CID152946""]",hiv/aids,Diseases of the genitourinary system,DB00625,DB00218,1
NCT02165046,"[[""budesonide""], [""procaterol""]]","[""DB01222"", ""DB01366""]","[""CID5281004"", ""CID688561""]",asthma,Allergic or hypersensitivity conditions,DB01222,DB01366,3
NCT02165046,"[[""budesonide""], [""procaterol""]]","[""DB01222"", ""DB01366""]","[""CID5281004"", ""CID688561""]",chronic obstructive pulmonary disease (copd),Certain lower respiratory tract diseases,DB01222,DB01366,3
NCT02165189,"[[""simeprevir""], [""sofosbuvir""]]","[""DB06290"", ""DB08934""]","[""CID24873435"", ""CID45375808""]",hepatitits c,Syndromic conditions with disorders of intellectual development as a relevant clinical feature,DB06290,DB08934,2
NCT02165644,"[[""nimodipine"", ""Nimotop""], [""acetazolamide"", ""Diamox""]]","[""DB00393"", ""DB00819""]","[""CID4497"", ""CID1986""]",acute cerebrovascular accident,Diseases of the nervous system,DB00393,DB00819,1
NCT02170532,"[[""levalbuterol""], [""ipratropium""]]","[""DB13139"", ""DB00332""]","[""CID123600"", ""-1""]",asthma,Allergic or hypersensitivity conditions,DB13139,DB00332,1
NCT02177461,"[[""enalapril""], [""clonidine""]]","[""DB00584"", ""DB00575""]","[""CID5388962"", ""CID2803""]",hypertension,Hypertensive diseases,DB00584,DB00575,1
NCT02177461,"[[""telmisartan""], [""clonidine""]]","[""DB00966"", ""DB00575""]","[""CID65999"", ""CID2803""]",hypertension,Hypertensive diseases,DB00966,DB00575,1
NCT02178306,"[[""placebo""], [""telmisartan""], [""telmisartan""]]","[""PLACEBO"", ""DB00966"", ""DB00966""]","[""PLACEBO"", ""CID65999"", ""CID65999""]",hypertension,Hypertensive diseases,DB00966,DB00966,1
NCT02180997,"[[""tamsulosin""], [""solifenacin"", ""Vesicare""]]","[""DB00706"", ""DB01591""]","[""CID129211"", ""CID154059""]",benign prostatic hyperplasia,Diseases of the male genital system,DB00706,DB01591,5
NCT02180997,"[[""tamsulosin""], [""solifenacin"", ""Vesicare""]]","[""DB00706"", ""DB01591""]","[""CID129211"", ""CID154059""]",overactive bladder,Other conditions of the genitourinary system,DB00706,DB01591,3
NCT02181933,"[[""zidovudine""], [""lamivudine""]]","[""DB00495"", ""DB00709""]","[""CID35370"", ""CID60825""]",hiv infections,Diseases of the genitourinary system,DB00495,DB00709,10
NCT02181946,"[[""nevirapine""], [""fluconazole""]]","[""DB00238"", ""DB00196""]","[""CID4463"", ""CID3365""]",hiv infections,Diseases of the genitourinary system,DB00238,DB00196,1
