id,drug_names,drugbank_identifier,pubchem_identifier,conditions,ICD_top_level_name,drugbank_id_A,drugbank_id_B,drugA,drugB,Combination_Count
NCT01769378,"[[""dulaglutide"", ""LY 2189265""], [""glimepiride""]]","[""DB09045"", ""DB00222""]","[""-1"", ""CID3476""]",type 2 diabetes mellitus,Endocrine diseases,DB09045,DB00222,"['dulaglutide', 'LY 2189265']",['glimepiride'],1
NCT01772797,"[[""AUY922""], [""LDK378""]]","[""DB11881"", ""DB09063""]","[""-1"", ""CID57379345""]",anaplastic lymphoma kinase (alk),Neoplasms,DB11881,DB09063,['AUY922'],['LDK378'],1
NCT01772797,"[[""AUY922""], [""LDK378""]]","[""DB11881"", ""DB09063""]","[""-1"", ""CID57379345""]",non-small cell lung cancer,Neoplasms of the respiratory system,DB11881,DB09063,['AUY922'],['LDK378'],1
NCT01773785,"[[""docetaxel""], [""SPI-1620""]]","[""DB01248"", ""DB06138""]","[""CID148124"", ""CID16130933""]",biliary cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01248,DB06138,['docetaxel'],['SPI-1620'],1
NCT01774851,"[[""trastuzumab""], [""paclitaxel""]]","[""DB00072"", ""DB01229""]","[""-1"", ""-1""]",esophagus cancer,Diseases of oesophagus,DB00072,DB01229,['trastuzumab'],['paclitaxel'],1
NCT01774851,"[[""trastuzumab""], [""paclitaxel""]]","[""DB00072"", ""DB01229""]","[""-1"", ""-1""]",gastroesophageal junction cancer,Diseases of the stomach or the duodenum,DB00072,DB01229,['trastuzumab'],['paclitaxel'],2
NCT01775891,"[[""flecainide""], [""pilsicainide"", ""pilsicainide""]]","[""DB01195"", ""DB12712""]","[""CID3356"", ""CID4820""]",paroxysmal atrial fibrillation,Cardiac arrhythmia,DB01195,DB12712,['flecainide'],"['pilsicainide', 'pilsicainide']",1
NCT01776307,"[[""capecitabine"", ""Xeloda""], [""BBI608"", ""BBI608"", ""napabucasin"", ""BBI608""]]","[""DB01101"", ""DB12155""]","[""CID60953"", ""CID10331844""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB01101,DB12155,"['capecitabine', 'Xeloda']","['BBI608', 'BBI608', 'napabucasin', 'BBI608']",1
NCT01776307,"[[""BBI608"", ""BBI608"", ""napabucasin"", ""BBI608""], [""cetuximab"", ""Erbitux""]]","[""DB12155"", ""DB00002""]","[""CID10331844"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB12155,DB00002,"['BBI608', 'BBI608', 'napabucasin', 'BBI608']","['cetuximab', 'Erbitux']",1
NCT01776307,"[[""BBI608"", ""BBI608"", ""napabucasin"", ""BBI608""], [""panitumumab"", ""Vectibix""]]","[""DB12155"", ""DB01269""]","[""CID10331844"", ""-1""]",colorectal cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB12155,DB01269,"['BBI608', 'BBI608', 'napabucasin', 'BBI608']","['panitumumab', 'Vectibix']",2
NCT01777282,"[[""biguanide""], [""albiglutide""]]","[""DB13100"", ""DB09043""]","[""CID5939"", ""-1""]",diabetes mellitus,Endocrine diseases,DB13100,DB09043,['biguanide'],['albiglutide'],1
NCT01777477,"[[""chloroquine"", ""Nivaquine""], [""gemcitabine"", ""Gemzar""]]","[""DB00608"", ""DB00441""]","[""CID2719"", ""CID60750""]",pancreatic cancer,Diseases of pancreas,DB00608,DB00441,"['chloroquine', 'Nivaquine']","['gemcitabine', 'Gemzar']",1
NCT01778803,"[[""defactinib"", ""VS-6063""], [""paclitaxel"", ""taxol""]]","[""DB12282"", ""DB01229""]","[""CID25117126"", ""CID36314""]",ovarian cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB12282,DB01229,"['defactinib', 'VS-6063']","['paclitaxel', 'taxol']",1
NCT01779024,"[[""ghrelin""], [""ethanol""]]","[""DB11895"", ""DB00898""]","[""CID71728433"", ""CID702""]",alcohol drinking,Disorders due to substance use or addictive behaviours,DB11895,DB00898,['ghrelin'],['ethanol'],2
NCT01780545,"[[""docetaxel""], [""OGX-427""]]","[""DB01248"", ""DB06094""]","[""CID148124"", ""-1""]",bladder cancer,Diseases of the urinary system,DB01248,DB06094,['docetaxel'],['OGX-427'],2
NCT01780987,"[[""warfarin""], [""heparin""]]","[""DB00682"", ""DB01109""]","[""CID54678486"", ""CID22833565""]",deep vein thrombosis,Diseases of veins,DB00682,DB01109,['warfarin'],['heparin'],1
NCT01780987,"[[""warfarin""], [""heparin""]]","[""DB00682"", ""DB01109""]","[""CID54678486"", ""CID22833565""]",pulmonary embolism,Diseases of the circulatory system,DB00682,DB01109,['warfarin'],['heparin'],1
NCT01782976,"[[""Cilengitide""], [""bevacizumab"", ""bevacizumab"", ""bevacizumab"", ""Avastin""]]","[""DB11890"", ""DB00112""]","[""CID176873"", ""-1""]",glioblastoma,Neoplasms of brain or central nervous system,DB11890,DB00112,['Cilengitide'],"['bevacizumab', 'bevacizumab', 'bevacizumab', 'Avastin']",1
NCT01783197,"[[""Selumetinib""], [""pemetrexed""]]","[""DB11689"", ""DB00642""]","[""CID10127622"", ""CID446556""]",non small cell lung cancer,Neoplasms of the respiratory system,DB11689,DB00642,['Selumetinib'],['pemetrexed'],1
NCT01783587,"[[""docetaxel"", ""Taxotere""], [""afatinib"", ""Gilotrif""]]","[""DB01248"", ""DB08916""]","[""CID148124"", ""CID10184653""]",squamous cell carcinoma of the head and neck,Malignant neoplasms involving the skin,DB01248,DB08916,"['docetaxel', 'Taxotere']","['afatinib', 'Gilotrif']",1
NCT01787396,"[[""metformin""], [""Gemigliptin""]]","[""DB00331"", ""DB12412""]","[""-1"", ""CID11953153""]",type 2 diabetes mellitus,Endocrine diseases,DB00331,DB12412,['metformin'],['Gemigliptin'],4
NCT01787487,"[[""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""Mylosar"", ""U-18496"", ""Vidaza""], [""ruxolitinib"", ""INCB-18424 Phosphate"", ""Jakafi""]]","[""DB00928"", ""DB08877""]","[""CID9444"", ""CID25126798""]","myelodysplastic/myeloproliferative neoplasm, unclassifiable",Neoplasms,DB00928,DB08877,"['azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'Mylosar', 'U-18496', 'Vidaza']","['ruxolitinib', 'INCB-18424 Phosphate', 'Jakafi']",4
NCT01787487,"[[""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""azacitidine"", ""Mylosar"", ""U-18496"", ""Vidaza""], [""ruxolitinib"", ""INCB-18424 Phosphate"", ""Jakafi""]]","[""DB00928"", ""DB08877""]","[""CID9444"", ""CID25126798""]",myelofibrosis transformation in essential thrombocythemia,Thrombocytosis,DB00928,DB08877,"['azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'azacitidine', 'Mylosar', 'U-18496', 'Vidaza']","['ruxolitinib', 'INCB-18424 Phosphate', 'Jakafi']",2
NCT01789047,"[[""amantadine"", ""Symmetrel""], [""topiramate"", ""Topamax""]]","[""DB00915"", ""DB00273""]","[""CID2130"", ""CID5284627""]",drug induced dyskinesia,"Symptoms, signs or clinical findings of the musculoskeletal system",DB00915,DB00273,"['amantadine', 'Symmetrel']","['topiramate', 'Topamax']",1
NCT01789242,"[[""carfilzomib"", ""PR-171"", ""Kyprolis""], [""dexamethasone"", ""Decadron""]]","[""DB08889"", ""DB01234""]","[""CID11556711"", ""CID5743""]",amyloidosis,Metabolic disorders,DB08889,DB01234,"['carfilzomib', 'PR-171', 'Kyprolis']","['dexamethasone', 'Decadron']",2
NCT01789723,"[[""Folotyn"", ""Folotyn""], [""Fusilev"", ""Fusilev""]]","[""DB06813"", ""DB11596""]","[""-1"", ""CID149436""]",non hodgkin's lymphoma,Neoplasms,DB06813,DB11596,"['Folotyn', 'Folotyn']","['Fusilev', 'Fusilev']",5
NCT01790503,"[[""pexidartinib""], [""temozolomide"", ""Temodar"", ""temozolomide""]]","[""DB12978"", ""DB00853""]","[""CID25151352"", ""CID5394""]",patients with newly diagnosed glioblastoma,Neoplasms of brain or central nervous system,DB12978,DB00853,['pexidartinib'],"['temozolomide', 'Temodar', 'temozolomide']",4
NCT01791153,"[[""tocilizumab"", ""roactemra""], [""placebo""], [""prednisone""]]","[""DB06273"", ""PLACEBO"", ""DB00635""]","[""-1"", ""PLACEBO"", ""-1""]",giant cell arteritis,Skin disorders involving specific cutaneous structures,DB06273,DB00635,,,4
NCT01791816,"[[""omega-N-Methylarginine""], [""phenylephrine""]]","[""DB11815"", ""DB00388""]","[""-1"", ""CID6041""]",vasovagal syncope,"General symptoms, signs or clinical findings",DB11815,DB00388,['omega-N-Methylarginine'],['phenylephrine'],1
NCT01791816,"[[""omega-N-Methylarginine""], [""phenylephrine""]]","[""DB11815"", ""DB00388""]","[""-1"", ""CID6041""]",postural tachycardia syndrome,Disorders of autonomic nervous system,DB11815,DB00388,['omega-N-Methylarginine'],['phenylephrine'],1
NCT01794247,"[[""fentanyl""], [""lidocaine""]]","[""DB00813"", ""DB00281""]","[""CID3345"", ""CID3676""]",transient neurologic syndrome,Factors influencing health status,DB00813,DB00281,['fentanyl'],['lidocaine'],1
NCT01794247,"[[""lidocaine""], [""magnesium sulfate""]]","[""DB00281"", ""DB00653""]","[""CID3676"", ""CID24083""]",transient neurologic syndrome,Factors influencing health status,DB00281,DB00653,['lidocaine'],['magnesium sulfate'],1
NCT01794520,"[[""dexamethasone""], [""venetoclax"", ""Venclexta"", ""ABT-199""]]","[""DB01234"", ""DB11581""]","[""CID5743"", ""CID49846579""]",relapsed/refractory multiple myeloma,Neoplasms,DB01234,DB11581,['dexamethasone'],"['venetoclax', 'Venclexta', 'ABT-199']",3
NCT01794845,"[[""Erbitux"", ""cetuximab""], [""Taxotere"", ""docetaxel""]]","[""DB00002"", ""DB01248""]","[""-1"", ""CID148124""]",squamous cell carcinoma,Malignant neoplasms involving the skin,DB00002,DB01248,"['Erbitux', 'cetuximab']","['Taxotere', 'docetaxel']",2
NCT01794845,"[[""Erbitux"", ""cetuximab""], [""Taxotere"", ""docetaxel""]]","[""DB00002"", ""DB01248""]","[""-1"", ""CID148124""]",head and neck cancer,Neoplasms of the nervous system,DB00002,DB01248,"['Erbitux', 'cetuximab']","['Taxotere', 'docetaxel']",1
NCT01796028,"[[""metformin"", ""Glucophage""], [""Taxotere""]]","[""DB00331"", ""DB01248""]","[""CID4091"", ""-1""]",prostatic neoplasms,Diseases of the male genital system,DB00331,DB01248,"['metformin', 'Glucophage']",['Taxotere'],1
NCT01796171,"[[""rituximab""], [""Betalutin""]]","[""DB00073"", ""DB12227""]","[""-1"", ""-1""]",non-hodgkin lymphoma,Neoplasms,DB00073,DB12227,['rituximab'],['Betalutin'],2
NCT01796470,"[[""idelalisib"", ""Zydelig"", ""Topical Fibrinogen-depleted Human Standardized Platelet Lysate CAM-101"", ""CAL 101"", ""GS-1101""], [""Entospletinib"", ""GS-9973""]]","[""DB09054"", ""DB12121""]","[""CID11625818"", ""CID59473233""]",chronic lymphocytic leukemia,Neoplasms,DB09054,DB12121,"['idelalisib', 'Zydelig', 'Topical Fibrinogen-depleted Human Standardized Platelet Lysate CAM-101', 'CAL 101', 'GS-1101']","['Entospletinib', 'GS-9973']",4
NCT01797900,"[[""cisplatin""], [""paclitaxel""]]","[""DB00515"", ""DB01229""]","[""-1"", ""-1""]",nasopharyngeal neoplasms,Neoplasms of the respiratory system,DB00515,DB01229,['cisplatin'],['paclitaxel'],6
NCT01798485,"[[""docetaxel"", ""Docecad"", ""Taxotere""], [""Ganetespib"", ""STA 9090""]]","[""DB01248"", ""DB12047""]","[""CID148124"", ""-1""]",non-small-cell lung adenocarcinoma,Neoplasms of the respiratory system,DB01248,DB12047,"['docetaxel', 'Docecad', 'Taxotere']","['Ganetespib', 'STA 9090']",4
NCT01801111,"[[""alectinib""], [""erlotinib"", ""Tarceva""]]","[""DB11363"", ""DB00530""]","[""CID49806720"", ""CID176870""]",non-small-cell lung carcinoma,Neoplasms of the respiratory system,DB11363,DB00530,['alectinib'],"['erlotinib', 'Tarceva']",1
NCT01801358,"[[""AEB071"", ""sotrastaurin""], [""MEK162""]]","[""DB12369"", ""DB11967""]","[""CID10296883"", ""CID10288191""]",uveal melanoma,Neoplasms,DB12369,DB11967,"['AEB071', 'sotrastaurin']",['MEK162'],2
NCT01802775,"[[""edoxaban""], [""aspirin""]]","[""DB09075"", ""DB00945""]","[""CID10280735"", ""CID2244""]",peripheral arterial disease,Diseases of arteries or arterioles,DB09075,DB00945,['edoxaban'],['aspirin'],1
NCT01803074,"[[""BMS-955176""], [""atazanavir""]]","[""DB15193"", ""DB01072""]","[""CID60152109"", ""CID148192""]","infection, human immunodeficiency virus",Diseases of the genitourinary system,DB15193,DB01072,['BMS-955176'],['atazanavir'],4
NCT01803152,"[[""imiquimod"", ""Aldara""], [""gemcitabine"", ""Gemzar""]]","[""DB00724"", ""DB00441""]","[""CID57469"", ""CID60750""]",sarcoma,Malignant neoplasms involving the skin,DB00724,DB00441,"['imiquimod', 'Aldara']","['gemcitabine', 'Gemzar']",2
NCT01803152,"[[""imiquimod"", ""Aldara""], [""gemcitabine"", ""Gemzar""]]","[""DB00724"", ""DB00441""]","[""CID57469"", ""CID60750""]",soft tissue sarcoma,Neoplasms of the circulatory system,DB00724,DB00441,"['imiquimod', 'Aldara']","['gemcitabine', 'Gemzar']",1
NCT01803503,"[[""docetaxel""], [""sunitinib""]]","[""DB01248"", ""DB01268""]","[""CID148124"", ""CID5329102""]",gastric cancer,Diseases of the stomach or the duodenum,DB01248,DB01268,['docetaxel'],['sunitinib'],1
NCT01804166,"[[""golimumab"", ""Simponi""], [""infliximab"", ""Remicade""]]","[""DB06674"", ""DB00065""]","[""-1"", ""-1""]",hepatosplenic t-cell lymphoma,Neoplasms,DB06674,DB00065,"['golimumab', 'Simponi']","['infliximab', 'Remicade']",1
NCT01804374,"[[""sorafenib"", ""Nexavar"", ""bay oil (Pimenta racemosa)""], [""everolimus"", ""RAD 001"", ""Afinitor"", ""Certican""]]","[""DB00398"", ""DB01590""]","[""-1"", ""CID6442177""]",metastatic osteosarcoma,Neoplasms of the circulatory system,DB00398,DB01590,"['sorafenib', 'Nexavar', 'bay oil (Pimenta racemosa)']","['everolimus', 'RAD 001', 'Afinitor', 'Certican']",2
NCT01804465,"[[""ipilimumab""], [""sipuleucel-T""]]","[""DB06186"", ""DB06688""]","[""-1"", ""-1""]",prostate cancer,Diseases of the male genital system,DB06186,DB06688,['ipilimumab'],['sipuleucel-T'],4
NCT01805232,"[[""quinine""], [""artesunate""]]","[""DB00468"", ""DB09274""]","[""CID3034034"", ""CID6917864""]",malaria,Certain infectious or parasitic diseases,DB00468,DB09274,['quinine'],['artesunate'],2
NCT01805596,"[[""ticagrelor"", ""Brilinta""], [""clopidogrel"", ""Plavix""]]","[""DB08816"", ""DB00758""]","[""CID9871419"", ""CID60606""]",endothelial function,Disorders of the visual organs,DB08816,DB00758,"['ticagrelor', 'Brilinta']","['clopidogrel', 'Plavix']",2
NCT01805882,"[[""sofosbuvir"", ""sofosbuvir""], [""ledipasvir"", ""ledipasvir""]]","[""DB08934"", ""DB09027""]","[""CID45375808"", ""CID67505836""]","hepatitis c, chronic",Diseases of the digestive system,DB08934,DB09027,"['sofosbuvir', 'sofosbuvir']","['ledipasvir', 'ledipasvir']",20
NCT01806311,"[[""amlodipine""], [""candesartan""]]","[""DB00381"", ""DB13919""]","[""CID2162"", ""CID2541""]",hypertension,Hypertensive diseases,DB00381,DB13919,['amlodipine'],['candesartan'],11
NCT01806363,"[[""chlorthalidone""], [""telmisartan""]]","[""DB00310"", ""DB00966""]","[""CID2732"", ""CID65999""]",hypertension,Hypertensive diseases,DB00310,DB00966,['chlorthalidone'],['telmisartan'],4
NCT01806675,"[[""fluorodeoxyglucose F18"", ""fluorodeoxyglucose F18""], [""pegaspargase""]]","[""DB09150"", ""DB00059""]","[""CID450503"", ""-1""]",adult giant cell glioblastoma,Neoplasms of brain or central nervous system,DB09150,DB00059,"['fluorodeoxyglucose F18', 'fluorodeoxyglucose F18']",['pegaspargase'],12
NCT01806675,"[[""fluorodeoxyglucose F18"", ""fluorodeoxyglucose F18""], [""pegaspargase""]]","[""DB09150"", ""DB00059""]","[""CID450503"", ""-1""]",male breast cancer,Disorders of breast,DB09150,DB00059,"['fluorodeoxyglucose F18', 'fluorodeoxyglucose F18']",['pegaspargase'],15
NCT01806675,"[[""fluorodeoxyglucose F18"", ""fluorodeoxyglucose F18""], [""pegaspargase""]]","[""DB09150"", ""DB00059""]","[""CID450503"", ""-1""]",recurrent adenoid cystic carcinoma of the oral cavity,Neoplasms of the respiratory system,DB09150,DB00059,"['fluorodeoxyglucose F18', 'fluorodeoxyglucose F18']",['pegaspargase'],30
NCT01806675,"[[""fluorodeoxyglucose F18"", ""fluorodeoxyglucose F18""], [""pegaspargase""]]","[""DB09150"", ""DB00059""]","[""CID450503"", ""-1""]",recurrent basal cell carcinoma of the lip,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB09150,DB00059,"['fluorodeoxyglucose F18', 'fluorodeoxyglucose F18']",['pegaspargase'],48
NCT01806675,"[[""fluorodeoxyglucose F18"", ""fluorodeoxyglucose F18""], [""pegaspargase""]]","[""DB09150"", ""DB00059""]","[""CID450503"", ""-1""]",recurrent pancreatic cancer,Diseases of pancreas,DB09150,DB00059,"['fluorodeoxyglucose F18', 'fluorodeoxyglucose F18']",['pegaspargase'],6
NCT01806675,"[[""fluorodeoxyglucose F18"", ""fluorodeoxyglucose F18""], [""pegaspargase""]]","[""DB09150"", ""DB00059""]","[""CID450503"", ""-1""]",recurrent renal cell cancer,Diseases of the urinary system,DB09150,DB00059,"['fluorodeoxyglucose F18', 'fluorodeoxyglucose F18']",['pegaspargase'],6
NCT01808144,"[[""lesinurad""], [""febuxostat""]]","[""DB11560"", ""DB04854""]","[""CID53465279"", ""CID134018""]",gout,Arthropathies,DB11560,DB04854,['lesinurad'],['febuxostat'],2
NCT01809041,"[[""propofol""], [""remifentanil""]]","[""DB00818"", ""DB00899""]","[""CID4943"", ""CID60815""]",intra-abdominal and intrapelvic surgery,"Symptoms, signs or clinical findings, not elsewhere classified",DB00818,DB00899,['propofol'],['remifentanil'],1
NCT01809041,"[[""remifentanil""], [""sevoflurane""]]","[""DB00899"", ""DB01236""]","[""CID60815"", ""CID5206""]",intra-abdominal and intrapelvic surgery,"Symptoms, signs or clinical findings, not elsewhere classified",DB00899,DB01236,['remifentanil'],['sevoflurane'],1
NCT01809340,"[[""ketamine""], [""minocycline""]]","[""DB01221"", ""DB01017""]","[""CID3821"", ""CID54675783""]",depressive disorder,Mood disorders,DB01221,DB01017,['ketamine'],['minocycline'],1
NCT01811732,"[[""vancomycin""], [""aztreonam""], [""placebo""]]","[""DB00512"", ""DB00355"", ""PLACEBO""]","[""CID14969"", ""CID5742832"", ""PLACEBO""]",skin and subcutaneous tissue bacterial infections,Diseases of the skin,DB00512,DB00355,,,2
NCT01813513,"[[""simeprevir"", ""Olysio""], [""samatasvir""]]","[""DB06290"", ""DB12660""]","[""CID24873435"", ""CID53302707""]",chronic hepatitis c infection,Diseases of the digestive system,DB06290,DB12660,"['simeprevir', 'Olysio']",['samatasvir'],3
NCT01813552,"[[""samatasvir""], [""omeprazole""]]","[""DB12660"", ""DB00338""]","[""CID53302707"", ""CID4594""]",chronic hepatitis c infection,Diseases of the digestive system,DB12660,DB00338,['samatasvir'],['omeprazole'],1
NCT01813552,"[[""samatasvir""], [""ritonavir""]]","[""DB12660"", ""DB00503""]","[""CID53302707"", ""CID392622""]",chronic hepatitis c infection,Diseases of the digestive system,DB12660,DB00503,['samatasvir'],['ritonavir'],1
NCT01814553,"[[""loperamide""], [""afatinib""]]","[""DB00836"", ""DB08916""]","[""CID3955"", ""CID10184653""]","carcinoma, non-small-cell lung",Neoplasms of the respiratory system,DB00836,DB08916,['loperamide'],['afatinib'],2
NCT01814748,"[[""Omarigliptin""], [""metformin"", ""Glumetza"", ""Riomet"", ""Glucophage"", ""Glucophage"", ""Fortamet""]]","[""DB11992"", ""DB00331""]","[""CID46209133"", ""CID4091""]",diabetes mellitus,Endocrine diseases,DB11992,DB00331,['Omarigliptin'],"['metformin', 'Glumetza', 'Riomet', 'Glucophage', 'Glucophage', 'Fortamet']",1
NCT01814826,"[[""azacitidine""], [""MLN4924"", ""pevonedistat""]]","[""DB00928"", ""DB11759""]","[""CID9444"", ""-1""]",acute myelogenous leukemia,Neoplasms,DB00928,DB11759,['azacitidine'],"['MLN4924', 'pevonedistat']",15
NCT01816243,"[[""Duragesic""], [""morphine""]]","[""DB00813"", ""DB00295""]","[""-1"", ""CID5288826""]",chronic pain,"General symptoms, signs or clinical findings",DB00813,DB00295,['Duragesic'],['morphine'],1
NCT01816646,"[[""cidofovir"", ""Vistide""], [""probenecid""]]","[""DB00369"", ""DB01032""]","[""CID60613"", ""CID4911""]",blood and marrow transplantation,Reasons for contact with the health services,DB00369,DB01032,"['cidofovir', 'Vistide']",['probenecid'],1
NCT01818739,"[[""Indocyanine Green/Albumin Solution"", ""IC-GREEN"", ""indocyanine green""], [""iso-sulfan blue"", ""Lymphazurin""]]","[""DB16024"", ""DB09136""]","[""CID11967809"", ""CID4695""]",endometrial cancer,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",DB16024,DB09136,"['Indocyanine Green/Albumin Solution', 'IC-GREEN', 'indocyanine green']","['iso-sulfan blue', 'Lymphazurin']",5
NCT01820091,"[[""Fusilev"", ""levoleucovorin""], [""Folotyn"", ""pralatrexate""]]","[""DB11596"", ""DB06813""]","[""CID149436"", ""CID148121""]",non-small cell lung cancer,Neoplasms of the respiratory system,DB11596,DB06813,"['Fusilev', 'levoleucovorin']","['Folotyn', 'pralatrexate']",5
NCT01821729,"[[""folfirinox"", ""fluorouracil"", ""fluorouracil"", ""leucovorin"", ""oxaliplatin""], [""losartan""]]","[""DB00650"", ""DB00678""]","[""CID6106"", ""CID3961""]",pancreatic cancer,Diseases of pancreas,DB00650,DB00678,"['folfirinox', 'fluorouracil', 'fluorouracil', 'leucovorin', 'oxaliplatin']",['losartan'],1
NCT01822548,"[[""metformin""], [""glyburide""]]","[""DB00331"", ""DB01016""]","[""-1"", ""CID3488""]",type 2 diabetes,Endocrine diseases,DB00331,DB01016,['metformin'],['glyburide'],11
NCT01823835,"[[""palbociclib""], [""GDC-0810""]]","[""DB09073"", ""DB12253""]","[""-1"", ""CID56941241""]",breast cancer,Disorders of breast,DB09073,DB12253,['palbociclib'],['GDC-0810'],1
NCT01826981,"[[""GS-7977"", ""Sovaldi""], [""GS-5816""]]","[""DB08934"", ""DB11613""]","[""CID45375808"", ""-1""]",chronic hepatitis c,Diseases of the digestive system,DB08934,DB11613,"['GS-7977', 'Sovaldi']",['GS-5816'],22
NCT01827111,"[[""ipilimumab"", ""Yervoy"", ""BMS-734016""], [""ABI007"", ""130-nm albumin-bound paclitaxel"", ""Abraxane"", ""paclitaxel""]]","[""DB06186"", ""DB01229""]","[""-1"", ""-1""]",melanoma,Malignant neoplasms involving the skin,DB06186,DB01229,"['ipilimumab', 'Yervoy', 'BMS-734016']","['ABI007', '130-nm albumin-bound paclitaxel', 'Abraxane', 'paclitaxel']",1
NCT01827267,"[[""temsirolimus"", ""Torisel""], [""neratinib"", ""Nerlynx""]]","[""DB06287"", ""DB11828""]","[""CID6918289"", ""CID9915743""]",her2-mutant non-small cell lung cancer,Neoplasms of the respiratory system,DB06287,DB11828,"['temsirolimus', 'Torisel']","['neratinib', 'Nerlynx']",1
NCT01827293,"[[""promethazine""], [""lorazepam""]]","[""DB01069"", ""DB00186""]","[""CID4927"", ""CID3958""]",peripheral vertigo.,"Symptoms, signs or clinical findings, not elsewhere classified",DB01069,DB00186,['promethazine'],['lorazepam'],2
NCT01827540,"[[""Cenicriviroc""], [""dolutegravir"", ""dolutegravir""]]","[""DB11758"", ""DB08930""]","[""CID11285792"", ""CID54726191""]",hiv-infection/aids,Diseases of the genitourinary system,DB11758,DB08930,['Cenicriviroc'],"['dolutegravir', 'dolutegravir']",1
NCT01828346,"[[""birinapant"", ""TL32711""], [""azacitidine""]]","[""DB11782"", ""DB00928""]","[""CID49836020"", ""CID9444""]",myelodysplastic syndrome,Neoplasms,DB11782,DB00928,"['birinapant', 'TL32711']",['azacitidine'],3
NCT01828476,"[[""ABT 263""], [""abiraterone""]]","[""DB12340"", ""DB05812""]","[""CID24978538"", ""CID132971""]",prostate cancer,Diseases of the male genital system,DB12340,DB05812,['ABT 263'],['abiraterone'],1
NCT01829295,"[[""prednisone""], [""methotrexate""]]","[""DB00635"", ""DB00563""]","[""-1"", ""CID126941""]",uveitis,Disorders of the visual organs,DB00635,DB00563,['prednisone'],['methotrexate'],1
NCT01829295,"[[""prednisone""], [""mycophenolate mofetil"", ""Cellcept""]]","[""DB00635"", ""DB00688""]","[""-1"", ""CID5281078""]",uveitis,Disorders of the visual organs,DB00635,DB00688,['prednisone'],"['mycophenolate mofetil', 'Cellcept']",1
NCT01829477,"[[""TAK-875""], [""glimepiride"", ""Amaryl""]]","[""DB12491"", ""DB00222""]","[""CID24857286"", ""CID3476""]","diabetes mellitus, type 2",Endocrine diseases,DB12491,DB00222,['TAK-875'],"['glimepiride', 'Amaryl']",1
NCT01829958,"[[""prednisone""], [""rituximab""]]","[""DB00635"", ""DB00073""]","[""-1"", ""-1""]",non hodgkin lymphoma (nhl),Neoplasms,DB00635,DB00073,['prednisone'],['rituximab'],2
NCT01830530,"[[""telmisartan"", ""Micardis"", ""Pritor""], [""nifedipine"", ""Adalat""]]","[""DB00966"", ""DB01115""]","[""CID65999"", ""CID4485""]",hypertension,Hypertensive diseases,DB00966,DB01115,"['telmisartan', 'Micardis', 'Pritor']","['nifedipine', 'Adalat']",1
NCT01830530,"[[""telmisartan"", ""Micardis"", ""Pritor""], [""nifedipine"", ""Adalat""]]","[""DB00966"", ""DB01115""]","[""CID65999"", ""CID4485""]",high altitude,Other or unspecified effects of external causes,DB00966,DB01115,"['telmisartan', 'Micardis', 'Pritor']","['nifedipine', 'Adalat']",1
NCT01833143,"[[""bortezomib""], [""acyclovir""]]","[""DB00188"", ""DB00787""]","[""CID387447"", ""CID2022""]",non-small cell lung cancer,Neoplasms of the respiratory system,DB00188,DB00787,['bortezomib'],['acyclovir'],1
NCT01833312,"[[""buspirone""], [""meperidine""]]","[""DB00490"", ""DB00454""]","[""CID2477"", ""CID4058""]",acute ischemic stroke,Diseases of the nervous system,DB00490,DB00454,['buspirone'],['meperidine'],1
NCT01833832,"[[""sodium thiosulfate""], [""cisplatin"", ""Platinol""]]","[""DB09499"", ""DB00515""]","[""CID24477"", ""-1""]",adrenocortical carcinoma,Neoplasms,DB09499,DB00515,['sodium thiosulfate'],"['cisplatin', 'Platinol']",1
NCT01833845,"[[""ribavirin"", ""ribavirin""], [""hydroxychloroquine"", ""hydroxychloroquine""]]","[""DB00811"", ""DB01611""]","[""-1"", ""CID3652""]",hepatitis c,Diseases of the digestive system,DB00811,DB01611,"['ribavirin', 'ribavirin']","['hydroxychloroquine', 'hydroxychloroquine']",2
